when,href,area,price,long,lat
Prodáno 16. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.045222982859755%2C14.456195500080705%5D%2C%22unit%22%3A%2221774129-1228-77%22%2C%22text%22%3A%22B%C3%ADtovsk%C3%A1%201228%2F11%2C%20Praha%22%7D,"Byt 3+1, 72 m2","6 600 000 Kč
91 286 Kč/m2",14.45619550008,50.045222982859755
Prodáno 16. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.979425222338264%2C14.584301733661563%5D%2C%22unit%22%3A%2225220993-228-7%22%2C%22text%22%3A%22Sportovn%C3%AD%20228%2C%20Dob%C5%99ejovice%22%7D,"Byt 2+1, 65 m2","5 790 000 Kč
88 940 Kč/m2",14.584301733661,49.979425222338264
Prodáno 5. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.06870351815339%2C14.390049988059557%5D%2C%22unit%22%3A%2221935394-2617-14%22%2C%22text%22%3A%22U%20Bla%C5%BEenky%202617%2F14%2C%20Praha%22%7D,"Byt 4+1, 80 m2","8 200 000 Kč
102 500 Kč/m2",14.3900499880595,50.06870351815339
Prodáno 5. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.079134870102216%2C14.855498868818913%5D%2C%22unit%22%3A%2296508876-1542-101%22%2C%22text%22%3A%22Na%20Blatech%201542%2C%20%C4%8Cesk%C3%BD%20Brod%22%7D,"Byt 4+kk, 90 m2","7 500 000 Kč
83 333 Kč/m2",14.855498868818,50.079134870102216
Prodáno 5. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.990337194845566%2C14.645292899907053%5D%2C%22unit%22%3A%2297936073-2672-109%22%2C%22text%22%3A%22Na%20V%C3%BD%C5%A1in%C4%9B%202672%2F4%2C%20%C5%98%C3%AD%C4%8Dany%22%7D,"Byt 3+kk, 106 m2","10 400 000 Kč
98 206 Kč/m2",14.645292899907,49.990337194845566
Prodáno 3. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.01452657131364%2C14.427364517952865%5D%2C%22unit%22%3A%2221549656-875-23%22%2C%22text%22%3A%22Dobevsk%C3%A1%20875%2F5%2C%20Praha%22%7D,"Byt 1+kk, 27 m2","3 490 000 Kč
128 309 Kč/m2",14.4273645179528,50.01452657131364
Prodáno 2. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.96219192447575%2C14.321975424152516%5D%2C%22unit%22%3A%226465765-102-2%22%2C%22text%22%3A%22Komensk%C3%A9ho%20102%2C%20%C4%8Cerno%C5%A1ice%22%7D,"Byt 2+kk, 34 m2","4 380 000 Kč
128 824 Kč/m2",14.3219754241525,49.96219192447575
Prodáno 2. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.06813012530547%2C14.300677443351915%5D%2C%22unit%22%3A%2222111166-1295-17%22%2C%22text%22%3A%22%C5%A0panielova%201294%2F90%2C%20Praha%22%7D,"Byt 3+1, 75 m2","8 190 000 Kč
108 621 Kč/m2",14.3006774433519,50.06813012530547
Prodáno 29. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.044353531006124%2C14.334444152747205%5D%2C%22unit%22%3A%2221999724-1961-12%22%2C%22text%22%3A%22P%C3%AD%C5%A1kova%201961%2F42%2C%20Praha%22%7D,"Byt 2+kk, 46 m2","5 900 000 Kč
128 261 Kč/m2",14.334444152747,50.044353531006124
Prodáno 28. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.0707419326229%2C14.46245462982491%5D%2C%22unit%22%3A%2222323538-885-26%22%2C%22text%22%3A%2228.%20pluku%20885%2F10%2C%20Praha%22%7D,"Byt 1+kk, 33 m2","4 840 000 Kč
147 112 Kč/m2",14.46245462982491,50.0707419326229
Prodáno 26. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.137259825929476%2C14.335657870535323%5D%2C%22unit%22%3A%2212662101-17-6%22%2C%22text%22%3A%22Velvarsk%C3%A1%2017%2C%20Horom%C4%9B%C5%99ice%22%7D,"Byt 2+kk, 74 m2","6 900 000 Kč
92 867 Kč/m2",14.335657870535,50.137259825929476
Prodáno 22. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.40664152030626%2C14.891125627347384%5D%2C%22unit%22%3A%2220974159-42-8%22%2C%22text%22%3A%22N%C3%A1dra%C5%BEn%C3%AD%2042%2F42%2C%20Mlad%C3%A1%20Boleslav%22%7D,"Byt 2+1, 63 m2","3 400 000 Kč
53 712 Kč/m2",14.8911256273473,50.40664152030626
Prodáno 21. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.05851887765364%2C14.495050809062466%5D%2C%22unit%22%3A%2222393676-2852-7%22%2C%22text%22%3A%22Me%C4%8D%C3%ADkov%C3%A1%202851%2F10%2C%20Praha%22%7D,"Byt 2+kk, 41 m2","5 000 000 Kč
122 249 Kč/m2",14.4950508090624,50.05851887765364
Prodáno 21. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.1298486472793%2C14.476723145850922%5D%2C%22unit%22%3A%2222189505-1330-13%22%2C%22text%22%3A%22Chaba%C5%99ovick%C3%A1%201330%2F7%2C%20Praha%22%7D,"Byt 2+kk, 47 m2","5 050 000 Kč
107 447 Kč/m2",14.47672314585092,50.1298486472793
Prodáno 21. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.13837478765417%2C14.332752747035816%5D%2C%22unit%22%3A%2227251373-907-15%22%2C%22text%22%3A%22T.%20G.%20Masaryka%20907%2C%20Horom%C4%9B%C5%99ice%22%7D,"Byt 2+1, 62 m2","6 990 000 Kč
113 107 Kč/m2",14.3327527470358,50.13837478765417
Prodáno 21. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.107058072954835%2C14.54129454246507%5D%2C%22unit%22%3A%2222259422-550-9%22%2C%22text%22%3A%22Pod%C4%9Bbradsk%C3%A1%20548%2F113%2C%20Praha%22%7D,"Byt 2+1, 51 m2","5 780 000 Kč
113 112 Kč/m2",14.541294542465,50.107058072954835
Prodáno 20. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.0674448462586%2C14.407871725971413%5D%2C%22unit%22%3A%2221915547-494-10%22%2C%22text%22%3A%22Na%20Valentince%20494%2F6%2C%20Praha%22%7D,"Byt 1+kk, 46 m2","6 180 000 Kč
135 230 Kč/m2",14.40787172597141,50.0674448462586
Prodáno 19. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.074040378855265%2C14.55143125999569%5D%2C%22unit%22%3A%2226694069-436-12%22%2C%22text%22%3A%22Laudonova%20436%2F1%2C%20Praha%22%7D,"Byt 3+kk, 87 m2","10 300 000 Kč
118 938 Kč/m2",14.551431259995,50.074040378855265
Prodáno 19. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.96311659867551%2C14.38332197346471%5D%2C%22unit%22%3A%2225686909-1453-38%22%2C%22text%22%3A%22Neumannova%201453%2F16%2C%20Praha%22%7D,"Byt 2+kk, 46 m2","6 500 000 Kč
141 921 Kč/m2",14.3833219734647,49.96311659867551
Prodáno 18. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.94253291019538%2C14.028549387724226%5D%2C%22unit%22%3A%2222460462-370-41%22%2C%22text%22%3A%22Plze%C5%88sk%C3%A1%20370%2C%20Kr%C3%A1l%C5%AFv%20Dv%C5%AFr%22%7D,"Byt 1+kk, 25 m2","2 150 000 Kč
85 317 Kč/m2",14.0285493877242,49.94253291019538
